id,label
http://metadata.un.org/thesaurus#1000580,beryllium
http://metadata.un.org/thesaurus#1000585,bible
http://metadata.un.org/thesaurus#1003531,koran
http://metadata.un.org/thesaurus#1000590,bibliography of bibliographies
http://metadata.un.org/thesaurus#1000588,bibliographies
http://metadata.un.org/thesaurus#1000634,birth spacing
http://metadata.un.org/thesaurus#1000630,birth control
http://metadata.un.org/thesaurus#1000635,birth statistics
http://metadata.un.org/thesaurus#080100,population dynamics
http://metadata.un.org/thesaurus#1006894,vital statistics
http://metadata.un.org/thesaurus#1000640,black sea
http://metadata.un.org/thesaurus#1004576,oceans
http://metadata.un.org/thesaurus#1000650,blueberries
http://metadata.un.org/thesaurus#1000653,bolivians
http://metadata.un.org/thesaurus#1000652,bolivia (plurinational state of)
http://metadata.un.org/thesaurus#1000658,bone diseases
http://metadata.un.org/thesaurus#1004436,non-communicable diseases
http://metadata.un.org/thesaurus#1000682,brakes
http://metadata.un.org/thesaurus#060300,land transport
http://metadata.un.org/thesaurus#1004251,motor vehicle equipment
http://metadata.un.org/thesaurus#1000683,bran
http://metadata.un.org/thesaurus#1002737,grains
http://metadata.un.org/thesaurus#1000686,brazilians
http://metadata.un.org/thesaurus#1000685,brazil
http://metadata.un.org/thesaurus#1000691,bretton woods institutions
http://metadata.un.org/thesaurus#021100,banking and investment
http://metadata.un.org/thesaurus#1003307,international financial institutions
http://metadata.un.org/thesaurus#1000697,british
http://metadata.un.org/thesaurus#1006786,united kingdom
http://metadata.un.org/thesaurus#1000711,budget performance
http://metadata.un.org/thesaurus#1000715,budukh language
http://metadata.un.org/thesaurus#1000862,caucasian languages
http://metadata.un.org/thesaurus#1000728,bulgarian language
http://metadata.un.org/thesaurus#1000735,burkina-be
http://metadata.un.org/thesaurus#1000736,burkina faso
http://metadata.un.org/thesaurus#1000753,business records
http://metadata.un.org/thesaurus#050200,management
http://metadata.un.org/thesaurus#1005393,records management
http://metadata.un.org/thesaurus#1000762,cabbages
http://metadata.un.org/thesaurus#1000766,cabo verdeans
http://metadata.un.org/thesaurus#1000765,cabo verde
http://metadata.un.org/thesaurus#1000770,cadmium
http://metadata.un.org/thesaurus#1000771,calcium carbide
http://metadata.un.org/thesaurus#1003225,inorganic chemicals
http://metadata.un.org/thesaurus#1000778,calories
http://metadata.un.org/thesaurus#100100,food and nutrition
http://metadata.un.org/thesaurus#1000777,calorie deficiency
http://metadata.un.org/thesaurus#1000783,camels
http://metadata.un.org/thesaurus#040300,livestock
http://metadata.un.org/thesaurus#1003780,livestock
http://metadata.un.org/thesaurus#1000786,cameroonians
http://metadata.un.org/thesaurus#1000785,cameroon
http://metadata.un.org/thesaurus#1000789,camuhi language
http://metadata.un.org/thesaurus#1003849,malayo-polynesian languages
http://metadata.un.org/thesaurus#1000791,canadians
http://metadata.un.org/thesaurus#1000790,canada
http://metadata.un.org/thesaurus#1000801,capital cities
http://metadata.un.org/thesaurus#090100,settlement planning
http://metadata.un.org/thesaurus#1000995,cities
http://metadata.un.org/thesaurus#1000813,caprolactam
http://metadata.un.org/thesaurus#1000823,cardamom
http://metadata.un.org/thesaurus#1006138,spices
http://metadata.un.org/thesaurus#1000837,carnations
http://metadata.un.org/thesaurus#1002400,flowers
http://metadata.un.org/thesaurus#1000838,carpets
http://metadata.un.org/thesaurus#050300,manufacturing and mining industries and products
http://metadata.un.org/thesaurus#1006483,textile industry
http://metadata.un.org/thesaurus#1000840,carrots
http://metadata.un.org/thesaurus#1000845,cashew nuts
http://metadata.un.org/thesaurus#1000852,catalan language
http://metadata.un.org/thesaurus#1005606,romance languages
http://metadata.un.org/thesaurus#1000869,celery
http://metadata.un.org/thesaurus#1000896,cfa franc zone
http://metadata.un.org/thesaurus#021200,monetary issues
http://metadata.un.org/thesaurus#1004213,monetary unions
http://metadata.un.org/thesaurus#1000905,charter parties
http://metadata.un.org/thesaurus#1000906,charter review
http://metadata.un.org/thesaurus#1003310,international instruments
http://metadata.un.org/thesaurus#1000907,chechen language
http://metadata.un.org/thesaurus#1000925,cherries
http://metadata.un.org/thesaurus#1000926,chestnuts
http://metadata.un.org/thesaurus#1000959,chileans
http://metadata.un.org/thesaurus#1000958,chile
http://metadata.un.org/thesaurus#1000962,chinese
http://metadata.un.org/thesaurus#1000961,china
http://metadata.un.org/thesaurus#1000963,chinese cabbage
http://metadata.un.org/thesaurus#1000964,chinese language
http://metadata.un.org/thesaurus#1005914,sino-tibetan languages
